"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"30/05/2025","ACCESS","11.13","5.20","11.13","11.13","11.13","11.13","0.00","11.14","0.00","0.00","0.00"
"30/05/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","0.00","5.06","0.00","0.00"
"30/05/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"30/05/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"30/05/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","0.00","0.00"
"30/05/2025","BOPP","31.12","25.26","31.12","31.12","31.12","31.12","0.00","31.12","0.00","0.00","0.00"
"30/05/2025","CAL","0.80","0.35","0.58","0.58","0.58","0.58","0.00","0.00","0.58","1,542.00","894.36"
"30/05/2025","CLYD","0.08","0.03","0.08","0.08","0.08","0.08","0.00","0.09","0.00","0.00","0.00"
"30/05/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"30/05/2025","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"30/05/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.00","0.00"
"30/05/2025","EGH","7.61","6.25","7.61","7.61","7.61","7.61","0.00","7.62","0.00","0.00","0.00"
"30/05/2025","EGL","2.85","1.98","2.85","2.85","2.85","2.85","0.00","2.85","0.00","0.00","0.00"
"30/05/2025","ETI","0.90","0.31","0.90","0.90","0.89","0.89","-0.01","0.00","0.90","61,438.00","54,679.82"
"30/05/2025","FML","4.10","3.70","4.10","4.10","4.10","4.10","0.00","4.11","0.00","0.00","0.00"
"30/05/2025","GCB","8.03","6.37","8.01","8.03","8.03","8.03","0.02","8.05","8.08","2,000.00","16,060.00"
"30/05/2025","GGBL","6.05","5.50","6.00","6.00","6.05","6.05","0.05","0.00","6.05","1,991.00","12,045.55"
"30/05/2025","GOIL","1.80","1.52","1.80","1.80","1.80","1.80","0.00","1.80","1.98","0.00","0.00"
"30/05/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.00","0.00"
"30/05/2025","MTNGH","3.54","2.50","3.00","3.00","2.99","2.98","-0.02","2.95","2.99","305,779.00","910,311.44"
"30/05/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","RBGH","0.66","0.60","0.66","0.66","0.66","0.66","0.00","0.67","0.00","1,791.00","1,199.97"
"30/05/2025","SCB","26.20","23.00","26.20","26.20","26.20","26.20","0.00","27.50","0.00","0.00","0.00"
"30/05/2025","SIC","1.01","0.27","1.00","1.00","1.01","1.01","0.01","1.03","0.00","42,313.00","42,736.13"
"30/05/2025","SOGEGH","1.80","1.50","1.80","1.80","1.80","1.80","0.00","1.80","0.00","0.00","0.00"
"30/05/2025","TBL","0.91","0.83","0.91","0.91","0.91","0.91","0.00","1.00","0.00","0.00","0.00"
"30/05/2025","TOTAL","25.00","13.12","24.92","24.92","24.92","24.92","0.00","25.00","0.00","0.00","0.00"
"30/05/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","UNIL","20.50","19.50","20.50","20.50","20.50","20.50","0.00","19.55","20.05","20.00","410.00"
"30/05/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","**CALPREF**","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"30/05/2025","GLD","508.31","338.83","350.86","350.86","350.80","350.86","0.00","338.83","350.86","0.00","0.00"
"30/05/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"30/05/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"30/05/2025","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.05","0.00","0.00"
"30/05/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"29/05/2025","ACCESS","11.13","5.20","10.12","10.12","11.13","11.13","1.01","10.12","0.00","1,000.00","11,130.00"
"29/05/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","0.00","5.06","2.00","10.12"
"29/05/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"29/05/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
