"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"28/02/2025","ACCESS","6.82","5.20","6.82","6.82","6.82","6.82","0.00","6.82","7.50","0.00","0.00"
"28/02/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"28/02/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"28/02/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"28/02/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"28/02/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","0.00","48.00","293.76"
"28/02/2025","BOPP","26.31","25.26","26.31","26.31","26.31","26.31","0.00","26.30","28.87","0.00","0.00"
"28/02/2025","CAL","0.59","0.35","0.59","0.59","0.59","0.59","0.00","0.56","0.61","3,842.00","2,266.78"
"28/02/2025","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.00","0.00"
"28/02/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"28/02/2025","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","0.00","0.00"
"28/02/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.00","0.00"
"28/02/2025","EGH","6.60","6.25","6.25","6.25","6.25","6.25","0.00","6.26","0.00","79.00","494.54"
"28/02/2025","EGL","2.05","1.98","2.05","2.05","2.05","2.05","0.00","2.05","0.00","1.00","2.05"
"28/02/2025","ETI","0.72","0.31","0.72","0.72","0.72","0.72","0.00","0.72","0.00","0.00","0.00"
"28/02/2025","FML","3.70","3.70","3.70","3.70","3.70","3.70","0.00","3.70","0.00","3.00","11.10"
"28/02/2025","GCB","6.51","6.37","6.51","6.51","6.51","6.51","0.00","651.00","0.00","381.00","2,487.93"
"28/02/2025","GGBL","5.62","5.50","5.62","5.62","5.62","5.62","0.00","5.62","5.80","0.00","0.00"
"28/02/2025","GOIL","1.60","1.52","1.60","1.60","1.60","1.60","0.00","1.60","0.00","2,750.00","4,400.00"
"28/02/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","1.00","5.38"
"28/02/2025","MTNGH","2.91","2.50","2.91","2.91","2.91","2.91","0.00","2.90","3.00","418,082.00","1,216,618.62"
"28/02/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"28/02/2025","RBGH","0.66","0.60","0.60","0.60","0.60","0.60","0.00","0.60","0.66","0.00","0.00"
"28/02/2025","SCB","25.01","23.00","25.01","25.01","25.01","25.01","0.00","25.01","0.00","0.00","0.00"
"28/02/2025","SIC","0.37","0.27","0.34","0.34","0.37","0.37","0.03","0.34","0.00","2,000.00","740.00"
"28/02/2025","SOGEGH","1.50","1.50","1.50","1.50","1.50","1.50","0.00","1.50","0.00","1,716.00","2,574.00"
"28/02/2025","TBL","0.83","0.83","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.00","0.00"
"28/02/2025","TOTAL","14.98","13.12","13.62","13.62","14.98","14.98","1.36","14.98","0.00","500.00","7,490.00"
"28/02/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","0.00","0.00"
"28/02/2025","UNIL","19.50","19.50","19.50","19.50","19.50","19.50","0.00","19.52","0.00","47.00","917.44"
"28/02/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.00","0.00"
"28/02/2025","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.29","0.00","0.00","0.00"
"28/02/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"28/02/2025","GLD","443.50","390.50","428.68","428.68","425.50","425.60","-3.08","438.90","0.00","32,763.00","13,943,880.22"
"28/02/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"28/02/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"28/02/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"28/02/2025","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.05","0.00","0.00"
"28/02/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"27/02/2025","ACCESS","6.82","5.20","6.82","6.82","6.82","6.82","0.00","6.82","7.50","0.00","0.00"
"27/02/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"27/02/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"27/02/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"27/02/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"27/02/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","0.00","451.00","2,760.12"
"27/02/2025","BOPP","26.31","25.26","26.25","26.25","26.31","26.31","0.06","26.35","0.00","2,000.00","52,620.00"
"27/02/2025","CAL","0.59","0.35","0.56","0.56","0.57","0.59","0.03","0.56","0.57","350,974.00","206,903.39"
"27/02/2025","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.00","0.00"
"27/02/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"27/02/2025","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.02","0.00","17.00","0.34"
"27/02/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","639.00","242.82"
"27/02/2025","EGH","6.60","6.25","6.25","6.25","6.25","6.25","0.00","6.26","0.00","0.00","0.00"
"27/02/2025","EGL","2.05","1.98","2.05","2.05","2.05","2.05","0.00","2.05","0.00","213.00","436.65"
"27/02/2025","ETI","0.72","0.31","0.72","0.72","0.72","0.72","0.00","0.72","0.79","22,990.00","16,552.80"
"27/02/2025","FML","3.70","3.70","3.70","3.70","3.70","3.70","0.00","3.70","0.00","33.00","122.10"
"27/02/2025","GCB","6.51","6.37","6.51","6.51","6.51","6.51","0.00","6.52","0.00","37.00","241.24"
"27/02/2025","GGBL","5.62","5.50","5.62","5.62","5.62","5.62","0.00","5.62","5.80","19.00","106.78"
"27/02/2025","GOIL","1.60","1.52","1.60","1.60","1.60","1.60","0.00","1.60","0.00","2.00","3.20"
"27/02/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","5.38","0.00","0.00"
"27/02/2025","MTNGH","2.91","2.50","2.89","2.89","2.91","2.91","0.02","2.91","0.00","846,784.00","2,464,275.11"
"27/02/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"27/02/2025","RBGH","0.66","0.60","0.60","0.60","0.60","0.60","0.00","0.60","0.66","0.00","0.00"
"27/02/2025","SCB","25.01","23.00","25.01","25.01","25.01","25.01","0.00","25.01","0.00","0.00","0.00"
"27/02/2025","SIC","0.34","0.27","0.34","0.34","0.34","0.34","0.00","0.34","0.37","0.00","0.00"
"27/02/2025","SOGEGH","1.50","1.50","1.50","1.50","1.50","1.50","0.00","1.50","0.00","3.00","4.50"
"27/02/2025","TBL","0.83","0.83","0.83","0.83","0.83","0.83","0.00","0.83","0.00","0.00","0.00"
"27/02/2025","TOTAL","13.62","13.12","13.62","13.62","13.62","13.62","0.00","14.98","0.00","0.00","0.00"
"27/02/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","0.00","11.92","0.00","0.00"
"27/02/2025","UNIL","19.50","19.50","19.50","19.50","19.50","19.50","0.00","19.52","0.00","80.00","1,561.60"
"27/02/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.00","0.00","0.00","0.00"
"27/02/2025","CALPREF","0.29","0.29","0.29","0.29","0.29","0.29","0.00","0.29","0.00","0.00","0.00"
"27/02/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"27/02/2025","GLD","443.50","390.50","438.90","438.90","428.50","428.68","-10.22","0.00","0.00","15,907.00","6,819,087.90"
"27/02/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"27/02/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"27/02/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"27/02/2025","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.05","0.00","0.00"
"27/02/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"26/02/2025","ACCESS","6.82","5.20","6.82","6.82","6.82","6.82","0.00","6.82","7.50","0.00","0.00"
"26/02/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"26/02/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"26/02/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"26/02/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"26/02/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","0.00","213.00","1,303.56"
"26/02/2025","BOPP","26.25","25.26","26.25","26.25","26.25","26.25","0.00","26.30","28.87","0.00","0.00"
"26/02/2025","CAL","0.56","0.35","0.56","0.56","0.56","0.56","0.00","0.56","0.61","971.00","543.76"
"26/02/2025","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.00","0.00"
"26/02/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
